Date,Year,Month,Month_Name,State_Code,State_Name,Avg_Daily_Traffic,Median_Daily_Traffic,Min_Daily_Traffic,Max_Daily_Traffic,Stations_Reporting,Valid_Station_Days,Avg_PM2_5,Median_PM2_5,Min_PM2_5,Max_PM2_5,Avg_AQI,Median_AQI,Min_AQI,Max_AQI,Monitoring_Sites,Valid_PM2_5_Observations,Valid_AQI_Observations,PM2_5_outlier_flag,Traffic_outlier_flag,Traffic_Volatility,Traffic_per_1000,Station_Coverage_Ratio,PM25_Obs_Coverage,AQI_Category,Emission_Efficiency_Index,Season,PM2_5_YoY_Change,Emission_Efficiency_YoY_Change
2015-01-01,2015,1,January,01,Alabama,28824.24,17166.0,736,179633,118,3259,8.602,7.802,3.1,30.9,43.31,43.0,17.0,92.0,19,272,241,False,False,6.206477603572548,28.824240000000003,0.8909240021869874,0.4617996604414261,Good,0.29842937749616294,Winter,,
2015-02-01,2015,2,February,01,Alabama,28587.82,17805.0,591,186699,123,3123,11.138,10.7,4.6,21.5,52.51,54.0,26.0,74.0,19,246,218,False,False,6.510045187076175,28.58782,0.9067944250871081,0.462406015037594,Moderate,0.3896064827608401,Winter,,
2015-03-01,2015,3,March,01,Alabama,30846.42,19287.0,650,184387,115,2989,9.926,8.9,2.9,23.6,47.91,49.0,16.0,78.0,19,305,274,False,False,5.956509701936238,30.84642,0.838429172510519,0.5178268251273345,Good,0.32178774716806685,Spring,,
2015-04-01,2015,4,April,01,Alabama,37655.15,21227.5,686,185408,129,3548,8.129,8.3,2.7,15.5,43.01,46.0,15.0,63.0,19,276,246,False,False,4.905623799135045,37.65515,0.9167958656330749,0.4842105263157895,Good,0.21588016513013492,Spring,,
2015-05-01,2015,5,May,01,Alabama,36324.61,21299.0,506,193338,127,3699,10.992,9.7,3.0,29.054,50.22,52.0,17.0,88.0,19,272,241,False,False,5.308577297870507,36.32461,0.9395478790957582,0.4617996604414261,Moderate,0.30260476299676725,Spring,,
2015-06-01,2015,6,June,01,Alabama,36640.24,21005.0,828,186948,122,3407,12.189,11.15,2.8,28.279,54.25,54.5,16.0,87.0,19,272,242,False,False,5.07966105025513,36.64024,0.9308743169398908,0.47719298245614034,Moderate,0.3326670349320856,Summer,,
2015-07-01,2015,7,July,01,Alabama,37668.01,21853.5,528,476376,124,3606,12.945,12.6,3.1,24.671,55.88,57.0,17.0,80.0,18,268,237,False,False,12.632682214961713,37.66801,0.9380853277835588,0.48028673835125446,Moderate,0.3436603101676993,Summer,,
2015-08-01,2015,8,August,01,Alabama,35846.45,20374.0,0,186205,127,3657,10.315,10.2,3.4,20.688,49.37,53.0,19.0,72.0,18,280,249,False,False,5.194517169761581,35.84645,0.9288798577597155,0.5017921146953405,Good,0.287755133353512,Summer,,
2015-09-01,2015,9,September,01,Alabama,37425.32,20106.0,756,187773,130,3653,9.605,9.088,2.5,26.538,45.69,49.0,14.0,72.0,18,243,218,False,False,4.99707150132584,37.42532,0.9366666666666666,0.45,Good,0.2566444321651759,Fall,,
2015-10-01,2015,10,October,01,Alabama,37130.16,20698.0,0,186524,130,3811,8.076,8.1,0.8,23.0,40.44,45.0,4.0,77.0,18,198,198,False,False,5.023517270057549,37.130160000000004,0.9456575682382135,0.3548387096774194,Good,0.21750512252034465,Fall,,
2015-11-01,2015,11,November,01,Alabama,34761.82,19376.5,776,179648,125,3482,6.39,6.0,2.2,14.1,34.53,33.0,12.0,60.0,18,202,202,False,False,5.145645423628567,34.76182,0.9285333333333333,0.37407407407407406,Good,0.18382236603261853,Fall,,
2015-12-01,2015,12,December,01,Alabama,33598.84,19075.5,819,181793,129,3568,6.621,5.15,1.0,31.5,33.59,28.0,6.0,93.0,18,240,219,False,False,5.386316908559939,33.598839999999996,0.892223055763941,0.43010752688172044,Good,0.19706037470341242,Winter,,
2016-01-01,2016,1,January,01,Alabama,31934.46,18394.0,651,158289,126,3490,6.594,6.1,1.9,14.7,35.34,33.0,11.0,61.0,18,282,251,False,False,4.936297654633897,31.934459999999998,0.8934971838197645,0.5053763440860215,Good,0.20648540792610867,Winter,-2.008,-0.09194396957005427
2016-02-01,2016,2,February,01,Alabama,32055.96,18387.0,739,161983,126,3279,7.101,7.5,1.6,17.7,37.54,42.0,9.0,67.0,18,217,198,False,False,5.030078649960881,32.05596,0.8973727422003284,0.4157088122605364,Good,0.22151886887804953,Winter,-4.037,-0.16808761388279056
2016-03-01,2016,3,March,01,Alabama,37554.77,21368.0,0,169121,124,3355,8.905,8.4,3.4,26.5,44.78,45.0,19.0,83.0,18,284,253,False,False,4.503316090073246,37.55477,0.8727887617065556,0.5089605734767025,Good,0.23712034449951364,Spring,-1.0210000000000008,-0.08466740266855322
2016-04-01,2016,4,April,01,Alabama,33096.37,19467.5,879,161735,135,3620,8.307,8.196,2.3,20.183,42.12,45.0,13.0,71.0,18,261,231,False,False,4.860230895412397,33.09637,0.8938271604938272,0.48333333333333334,Good,0.2509942933318669,Spring,0.17800000000000082,0.03511412820173199
2016-05-01,2016,5,May,01,Alabama,40524.31,22350.5,556,193712,130,3804,9.737,8.9,3.8,25.5,46.78,49.0,21.0,82.0,18,263,232,False,False,4.766422919970753,40.52431,0.9439205955334987,0.471326164874552,Good,0.24027552844206354,Spring,-1.2550000000000008,-0.06232923455470371
